A bill to recognize the 50 years of extraordinary and selfless public service of Herbert Hoover, including his many great humanitarian endeavors, his chairmanship of two Commissions of the Organization of the Executive Branch, and his service as 31st President of the United States, and in commemoration of the 100th anniversary of his birth on August 10, 1974, by providing grants to the Hoover Institution on War, Revolution and Peace.|93|Senate|MARK HATFIELD(R) |Public law 93-585.|1975-01-02|https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1918.pdf
Joint resolution to authorize and request the President to issue a proclamation designating January, 1975, as "March of Dimes Birth Defects Prevention Month".|93|Senate|JOSEPH MONTOYA(D) |Public law 93-561.|1974-12-30|https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1821.pdf
An Act to amend the act to incorporate Little League Baseball to provide that the league shall be open to girls as well as to boys.|93|House|MARTHA GRIFFITHS(D) |Public law 93-551.|1974-12-26|https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1744.pdf
A bill to extend the term of design patent numbered 21,053, dated September 22, 1891, for a badge, granted to George Brown Goode, and assigned to the National Society, Daughters of the American Revolution.|93|House|ROBERT WILSON(R) |Measure passed House, amended.|1974-12-20|NA
A bill to recognize the 50 years of extraordinary and selfless public service of Herbert Hoover, including his many great humanitarian endeavors, his chairman of two Commissions of the Organization of the Executive Branch, and his service as 31st President of the United States, and in commemoration of the 100th anniversary of his birth on August 10, 1974, by providing grants to the Hoover Institution on War, Revolution, and Peace.|93|House|JOHN DELLENBACK(R) |Measure passed House.|1974-12-19|NA
A bill to amend certain provisions of the District of Columbia Code in order to eliminate their sex discriminatory aspects.|93|House|DONALD FRASER(D) |Referred to House Committee on District of Columbia.|1974-12-19|NA
A bill to amend the Education Amendments of 1972 to exempt certain youth organizations, college fraternities, and sororities, and intercollegiate sports from provisions requiring that admissions and benefits be allocated without regard to gender.|93|House|LAWRENCE FOUNTAIN(D) |Referred to House Committee on Education and Labor.|1974-12-11|NA
An Act to amend title 38, United States Code, to increase vocational rehabilitation subsistence allowances, educational and training assistance allowances, and special allowances paid to eligible veterans and persons under chapters 31, 34, and 35 of such title; to improve and expand the special programs for educationally disadvantaged veterans and servicemen under chapter 34 of such title; to improve and expand the veteran student services program; to establish an education loan program for veterans and persons eligible for benefits under chapter 34 or 35 of such title; to make other improvements in the educational assistance program and in the administration of educational benefits; to promote the employment of veterans and the wives and widows of certain veterans by improving and expanding the provisions governing the operation of the Veterans Employment Service, by increasing the employment of veterans by Federal contractors and subcontractors, and by providing for an action plan for the employment of disabled and Vietnam era veterans within the Federal Government; to codify and expand veterans reemployment rights; and for other purposes.|93|House|WILLIAM DORN(D) |Public law 93-508.|1974-12-03|https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1578.pdf
A bill to eliminate discrimination based on sex in the youth programs offered by the Naval Sea Cadet Corps.|93|Senate|CHARLES MATHIAS(R) |Public law 93-504.|1974-11-29|https://www.congress.gov/93/statute/STATUTE-88/STATUTE-88-Pg1575.pdf
Resolution to commemorate the 100th anniversary of the birth of the Honorable Winston S. Churchill.|93|House|CHARLES VANIK(D) |Measure passed House.|1974-11-26|NA
