A bill for the relief of Jeanette Green, as mother of the minor child, Ricky Baker, deceased, and as widow and administratrix of the estate of Enoch Odell Baker, deceased; and for the relief of Mary Jane Baker Nolan, individually, and as widow and administratrix of the estate of John William Baker, deceased.|94|House|WILLIAM DICKINSON(R) |Private Law 94-138.|1976-10-17|https://www.congress.gov/94/statute/STATUTE-90/STATUTE-90-Pg3011.pdf
A bill to amend section 2 of the act entitled "An act to incorporate the National Society of the Daughters of the American Revolution."|94|House|ROBERT WILSON(R) |Public law 94-443.|1976-10-01|https://www.congress.gov/94/statute/STATUTE-90/STATUTE-90-Pg1475.pdf
Concurrent resolution providing for the printing of a booklet entitled "Women in Congress".|94|House|CORINNE BOGGS(D) |Measure passed Senate.|1976-10-01|NA
Comprehensive Maternal and Child Health Protection Act|94|Senate|GARY HART(D) |Referred to Senate Committee on Labor and Public Welfare.|1976-10-01|NA
National School-Age Mother and Child Health Act|94|House|MAX BAUCUS(D) |Referred to House Committee on Interstate and Foreign Commerce.|1976-10-01|NA
A bill to provide third-class mailing privileges to Gold Star Wives of America, Inc.|94|Senate|HUBERT HUMPHREY(D) |Referred to Senate Committee on Post Office and Civil Service.|1976-09-29|NA
Joint resolution designating the second Sunday in August of each year as "My Brothers and Sisters Special Day."|94|House|JAMES FLORIO(D) |Referred to House Committee on Post Office and Civil Service.|1976-09-29|NA
National School-Age Mother and Child Health Act|94|House|HENRY REUSS(D) |Referred to House Committee on Interstate and Foreign Commerce.|1976-09-16|NA
A bill to authorize the Administrator of Veterans' Affairs to pay to female veterans of World War II and the Korean conflict certain educational benefits on the same basis that such benefits were paid to male veterans.|94|Senate|JOSEPH MONTOYA(D) |Referred to Senate Committee on Veterans' Affairs.|1976-09-14|NA
A bill to amend section 901 (a) (relating to prohibition of sex discrimination) of the Education Amendments of 1972 to exempt from the prohibition of such section musical programs or activities and social programs or activities designed for parents and students.|94|House|CLARENCE MILLER(R) |Referred to House Committee on Education and Labor.|1976-09-08|NA
A bill to amend section 651 of title 10, United States Code, to provide that female persons who become members of the Armed Forces shall have a 6-year statutory military obligation and for other purposes.|94|House|CHARLES PRICE(D) |Referred to House Committee on Armed Services.|1976-09-02|NA
National School-Age Mother and Child Health Act|94|House|RICHARD NOLAN(D) |Referred to House Committee on Interstate and Foreign Commerce.|1976-09-02|NA
Department of Women's Affairs Act|94|House|BELLA ABZUG(D) |Referred to House Committee on Government Operations.|1976-09-02|NA
A bill to amend section 901(a) (relating to the prohibition of sex discrimination) of the Education Amendments of 1972 to exempt from the prohibition of such section musical programs or activities, and social programs or activities designed for parents and students.|94|House|CLARENCE MILLER(R) |Referred to House Committee on Education and Labor.|1976-09-01|NA
A bill to amend section 901 of the Education Amendments of 1972 to allow mother-daughter and father-son events in elementary and secondary schools.|94|House|ROMANO MAZZOLI(D) |Referred to House Committee on Education and Labor.|1976-08-31|NA
A bill to amend section 901(a) (relating to the prohibition of sex discrimination) of the Education Amendments of 1972 to exempt from the prohibition of such section musical programs or activities, and social programs or activities designed for parent and students.|94|House|CLARENCE MILLER(R) |Referred to House Committee on Education and Labor.|1976-08-30|NA
A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.|94|House|LARRY PRESSLER(R) |Referred to House Committee on the Judiciary.|1976-08-26|NA
A bill to eliminate the appellate jurisdiction of the U.S. Supreme Court with respect to certain abortion cases.|94|House|RON PAUL(R) |Referred to House Committee on the Judiciary.|1976-08-10|NA
A bill to amend section 901 (a) (relating to prohibition of sex discrimination) of the Education Amendments of 1972 to exempt from the prohibition of such section musical programs or activities, and social programs or activities designed for parents and students.|94|House|CLARENCE MILLER(R) |Referred to House Committee on Education and Labor.|1976-08-10|NA
A bill to amend section 901 (a) (relating to prohibition of sex discrimination) of the Education Amendments of 1972 to exempt athletic programs or activities from the prohibition of such section.|94|House|CLARENCE MILLER(R) |Referred to House Committee on Education and Labor.|1976-08-10|NA
A bill to amend the Endangered Species Act of 1973 to exempt from the provisions of that act certain activities relating to endangered species born in captivity.|94|House|SAM STEIGER(R) |Referred to House Committee on Merchant Marine and Fisheries.|1976-08-10|NA
A bill to amend title XIX of the Social Security Act to prohibit expenditures under approved medicaid plans for abortions except in cases of medical necessity.|94|House|DAVID OBEY(D) |Referred to House Committee on Interstate and Foreign Commerce.|1976-08-09|NA
A bill to provide that the Secretary of State, at the request of an individual issued a passport, not include in the passport the place of birth of such individual.|94|House|JOHN BURTON(D) |Referred to House Committee on International Relations.|1976-08-09|NA
A bill for the relief of Jeanette Green, as mother of the minor child, Ricky Baker, deceased, and as widow and administratrix of the estate of Enoch Odell Baker, deceased; and for the relief of Mary Jane Baker Nolan, individually, and as widow and administratrix of the estate of John William Baker, deceased.|94|Senate|JAMES ALLEN(D) |Reported to Senate from the Committee on the Judiciary, S. Rept. 94-1129.|1976-08-06|NA
A resolution relating to the birthday of President Bourguiba of Tunisia.|94|Senate|CHARLES PERCY(R) |Measure passed Senate.|1976-08-03|NA
A concurrent resolution relating to the birthday of President Bourguiba of Tunisia.|94|Senate|CHARLES PERCY(R) |Referred to Senate Committee on Foreign Relations.|1976-08-02|NA
A bill to designate the birthday of Martin Luther King, Jr., as a legal public holiday.|94|House|THOMAS ASHLEY(D) |Referred to House Committee on Post Office and Civil Service.|1976-07-28|NA
Maternal and Child Health Care Act|94|House|JAMES SCHEUER(D) |Referred to House Committee on Ways and Means.|1976-07-22|NA
A bill to incorporate the Gold Star Wives of America.|94|House|JACK BRINKLEY(D) |Referred to House Committee on the Judiciary.|1976-07-21|NA
A bill to amend section 901(a) of the Education Amendments of 1972 to provide that such section shall not apply to events in which participation is limited to parents of either sex and the children of either sex.|94|House|JAMES FLORIO(D) |Referred to House Committee on Education and Labor.|1976-07-19|NA
A bill to provide medical and dental care for certain former wives and husbands of members and former members of the armed services.|94|House|G. WHITEHURST(R) |Referred to House Committee on Armed Services.|1976-07-01|NA
National School-Age Mother and Child Health Act|94|House|WILLIAM COHEN(R) |Referred to House Committee on Interstate and Foreign Commerce.|1976-07-01|NA
Maternal and Child Health Care Act|94|House|JAMES OBERSTAR(D) |Referred to House Committee on Ways and Means.|1976-06-24|NA
National Health Insurance for Mothers and Children Act|94|House|JAMES SCHEUER(D) |Referred to House Committee on Ways and Means.|1976-06-22|NA
Joint resolution designating August 26, 1976, as Women's Equality Day.|94|House|BELLA ABZUG(D) |Referred to House Committee on Post Office and Civil Service.|1976-06-22|NA
National Health Insurance for Mothers and Children Act|94|Senate|JACOB JAVITS(R) |Referred to Senate Committee on Finance.|1976-06-18|NA
Comprehensive Maternal and Child Health Practice Act|94|Senate|JACOB JAVITS(R) |Referred to Senate Committee on Labor and Public Welfare.|1976-06-18|NA
A bill to authorize the Secretaries of the Military departments to waive for a period of one year, in the case of female applicants and nominees to the service academies under the respective jurisdictions of such secretaries, the maximum age limitation for admission to such academies.|94|Senate|JOHN BEALL(R) |Referred to Senate Committee on Armed Services.|1976-06-17|NA
National School-Age Mother and Child Health Act|94|House|WILLIAM COHEN(R) |Referred to House Committee on Interstate and Foreign Commerce.|1976-06-14|NA
Maternal and Child Health Care Act|94|House|JAMES SCHEUER(D) |Referred to House Committee on Ways and Means.|1976-06-10|NA
A bill to amend title 38 of the United States Code in order to provide service pensions to certain veterans of World War I and pensions to the widows of such veterans.|94|House|WILLIAM CHAPPELL(D) |Referred to House Committee on Veterans' Affairs.|1976-06-09|NA
A bill to amend the Railroad Retirement Act of 1974 to provide that amounts of excess earnings with which a social security benefit is charged shall not be used in making deductions from widows' benefits under the railroad retirement system.|94|House|ROBERT BERGLAND(R) |Referred to House Committee on Interstate and Foreign Commerce.|1976-06-03|NA
Joint resolution designating August 26, 1976, as Women's Equality Day.|94|House|BELLA ABZUG(D) |Referred to House Committee on Post Office and Civil Service.|1976-06-02|NA
A bill to amend title II of the Social Security Act to provide for the entitlement of disabled widows and widowers to unreduced widow's and widower's insurance benefits without regard to age.|94|House|JOE MOAKLEY(D) |Referred to House Committee on Ways and Means.|1976-06-02|NA
A bill to incorporate the Gold Star Wives of America.|94|House|JACK BRINKLEY(D) |Referred to House Committee on the Judiciary.|1976-06-02|NA
A bill to amend title II of the Social Security Act to eliminate the special dependency requirements for entitlement to husband's and widower's insurance benefits, to provide benefits for certain divorced husbands and former husbands, to provide benefits to husbands based on having minor children in their care, and to provide benefits for widowed fathers with minor children, so that benefits for husbands, widowers, and fathers will be payable on the same basis as benefits for wives, widows, and mothers.|94|House|BELLA ABZUG(D) |Referred to House Committee on Ways and Means.|1976-06-02|NA
A bill to revise chapter 99 of title 18 of the United States Code to provide for the punishment of sexual assaults in the special jurisdiction of the United States.|94|House|JOE MOAKLEY(D) |Referred to House Committee on the Judiciary.|1976-06-01|NA
A bill to amend section 2 of the act entitled "An Act to incorporate the National Society of the Daughters of the American Revolution."|94|Senate|HERMAN TALMADGE(D) |Referred to Senate Committee on the Judiciary.|1976-05-26|NA
A bill to incorporate the Gold Star Wives of America.|94|House|EDWIN FORSYTHE(R) |Referred to House Committee on the Judiciary.|1976-05-26|NA
A bill to revise chapter 99 of title 18 of the United States Code to provide for the punishment of sexual assaults in special jurisdiction of the United States.|94|House|JOE MOAKLEY(D) |Referred to House Committee on the Judiciary.|1976-05-24|NA
A bill to amend title II of the Social Security Act to provide that no reduction shall be made in old-age insurance benefit amounts to which a woman is entitled if she has 120 quarters of coverage.|94|House|CLAUDE PEPPER(D) |Referred to House Committee on Ways and Means.|1976-05-20|NA
