To amend title 46, United States Code, to require reporting of complaints of sexual offenses on documented vessels and to amend the Magnuson Fishery Conservation and Management Act to establish a criminal penalty for assaulting or interfering with observers and supplementary observers.|101|House|JOLENE UNSOELD(D) |See H.R.2061.|1990-11-28|NA
Women's Health Research Act|101|House|Olympia Snowe(R) |For Further Action See H.R.5661.|1990-11-15|NA
To amend title XVIII of the Social Security Act to provide annual coverage of screening mammography for women 65 years of age or older.|101|House|BARBARA VUCANOVICH(R) |See H.R.5835.|1990-11-05|NA
Older Women's Breast Cancer Prevention Act of 1989|101|House|BARBARA KENNELLY(D) |See H.R.5835.|1990-11-05|NA
To amend title XVIII of the Social Security Act to provide for annual coverage of screening mammography for women over 64 years of age and to increase base payment limit from $50 to $60.|101|House|MARY OAKAR(D) |See H.R.5835.|1990-11-05|NA
Older Women's Breast Cancer Prevention Act of 1990|101|House|BARBARA KENNELLY(D) |See H.R.5835.|1990-11-05|NA
A joint resolution designating November 11 through November 17, 1990, as "National Women Veterans Recognition Week".|101|Senate|ALAN CRANSTON(D) |Became Public Law No: 101-490.|1990-10-31|NA
Women, Infants, and Children Addiction Treatment Services Amendments of 1990|101|House|HENRY WAXMAN(D) |For Further Action See H.R.3630.|1990-10-27|NA
Designating the room numbered H-235 in the House of Representatives wing of the Capitol as the "Lindy Claiborne Boggs Congressional Women's Reading Room".|101|House|JERRY HUCKABY(D) |Motion to reconsider laid on the table Agreed to without objection.|1990-10-25|NA
A concurrent resolution to acknowledge the 100th anniversary of the tragedy at Wounded Knee Creek, State of South Dakota, December 29, 1890, wherein soldiers of the United States Army 7th Cavalry killed and wounded approximately 350-375 Indian men, women and children of Chief Big Foot's band of the Minneconjou Sioux, and to recognize the Year of Reconciliation declared by the State of South Dakota between the citizens of the State and the member bands of the Great Sioux Nation.|101|Senate|DANIEL INOUYE(D) |Motion to reconsider laid on the table Agreed to without objection.|1990-10-25|NA
To acknowledge the 100th anniversary of the tragedy at Wounded Knee Creek, State of South Dakota, December 29, 1890, wherein soldiers of the United States Army 7th Cavalry killed and wounded approximately 350-375 Indian men, women, children of Chief Big Foot's band of the Minneconjou Sioux, and to recognize the Year of Reconciliation declared by the State of South Dakota between the citizens of the State and the member bands of the Great Sioux Nation.|101|House|TIM JOHNSON(D) |See S.Con.Res.153.|1990-10-25|NA
Title X Pregnancy Counseling Act of 1990|101|Senate|JOHN CHAFEE(R) |Read twice and referred to the Committee on Labor and Human Resources.|1990-10-24|NA
Equal Justice for Women in the Courts Act of 1990|101|Senate|PAUL SIMON(D) |Referred to Subcommittee on Courts and Administrative Practice.|1990-10-23|NA
Violence Against Women Act of 1990|101|Senate|JOSEPH BIDEN(D) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 1007.|1990-10-19|NA
Designating October 1990 as "National Domestic Violence Awareness Month".|101|House|LOUISE SLAUGHTER(D) |Became Public Law No: 101-439.|1990-10-18|NA
Women and AIDS Research Initiative Amendments of 1990|101|House|CONSTANCE MORELLA(R) |For Further Action See H.R.5661.|1990-10-15|NA
A joint resolution designating October 1990 as "National Domestic Violence Awareness Month".|101|Senate|ARLEN SPECTER(R) |Referred to the House Committee on Post Office and Civil Service.|1990-10-10|NA
