To amend title IV of the Social Security Act to provide for comprehensive substance abuse treatment programs for pregnant women and caretaker parents.|102|House|EDOLPHUS TOWNS(D) |Referred to the Subcommittee on Health and the Environment.|1992-11-20|NA
To improve the administration of the Women's Rights National Historical Park in the State of New York, and for other purposes.|102|House|FRANK HORTON(R) |Referred to the Subcommittee on National Parks and Public Lands.|1992-10-30|NA
Designating February 4, 1993, and February 3, 1994, as "National Women and Girls in Sports Day".|102|House|SUSAN MOLINARI(R) |Became Public Law No: 102-557.|1992-10-28|NA
Women in Apprenticeship and Nontraditional Occupations Act|102|House|CONSTANCE MORELLA(R) |Became Public Law No: 102-530.|1992-10-27|NA
Battered Women's Testimony Act of 1992|102|House|CONSTANCE MORELLA(R) |Became Public Law No: 102-527.|1992-10-27|NA
A joint resolution designating the week beginning November 8, 1992, as "National Women Veterans Recognition Week".|102|Senate|ALAN CRANSTON(D) |Became Public Law No: 102-517.|1992-10-24|NA
Women's Violence-Related Injury Reduction Act|102|House|JIM MCDERMOTT(D) |Referred to the Subcommittee on Health and the Environment.|1992-10-15|NA
Women Veterans Health Programs Act of 1992|102|Senate|ALAN CRANSTON(D) |Referred to the House Committee on Veterans' Affairs.|1992-10-09|NA
Sexual Assault Prevention Act of 1992|102|House|SUSAN MOLINARI(R) |Referred to the Subcommittee on Select Education.|1992-10-09|NA
A joint resolution to designate February 4, 1993 and February 3, 1994, as "National Women and Girls in Sports Day".|102|Senate|ROBERT PACKWOOD(R) |Indefinitely postponed by Senate by Unanimous Consent.|1992-10-08|NA
To authorize the conveyance to the Columbia Hospital for Women of certain parcels of land in the District of Columbia, and for other purposes.|102|House|RONALD DELLUMS(D) |Read twice and referred to the Committee on Governmental Affairs.|1992-10-08|NA
Expressing the sense of Congress that expert testimony concerning the nature and effect of domestic violence, including descriptions of the experiences of battered women, should be admissible when offered in a State court by a defendant in a criminal case.|102|House|CONSTANCE MORELLA(R) |Referred to the Committee on Judiciary.|1992-10-08|NA
International Population Stabilization and Reproductive Choice Act of 1992|102|Senate|TIMOTHY WIRTH(D) |Read twice and referred to the Committee on Foreign Relations.|1992-10-08|NA
Honoring the Coast Guard Women's Reserve.|102|House|W. TAUZIN(D) |Referred to the Subcommittee on Coast Guard and Navigation.|1992-10-06|NA
Women in Enterprise Development Act of 1992|102|House|MAXINE WATERS(D) |Referred to the House Committee on Foreign Affairs.|1992-10-06|NA
Battered Women's Testimony Act of 1992|102|Senate|ORRIN HATCH(R) |Read twice and referred to the Committee on Judiciary.|1992-10-05|NA
Women in the Armed Forces Commemorative Coins Act|102|Senate|ARLEN SPECTER(R) |Read twice and referred to the Committee on Banking.|1992-10-02|NA
A concurrent resolution to express the sense of the Congress that women's soccer should be a medal sport at the 1996 centennial Olympic games in Atlanta, Georgia.|102|Senate|DENNIS DECONCINI(D) |Message on House action received in Senate.|1992-09-30|NA
Commission on the Advancement of Women in the Science and Engineering Work Forces Act|102|House|CONSTANCE MORELLA(R) |Received in the Senate and read twice and referred to the Committee on Commerce.|1992-09-29|NA
Sexual Assault Prevention Act of 1992|102|Senate|ROBERT DOLE(R) |Read twice and referred to the Committee on Judiciary.|1992-09-25|NA
Violence Against Women Act of 1991|102|House|BARBARA BOXER(D) |Subcommittee Consideration and Mark-up Session Held.|1992-09-23|NA
Omnibus Adoption Assistance and Maternal Health Certificates Act|102|Senate|THOMAS GORTON(R) |Referred to Subcommittee on Children, Family, Drugs, Alcohol.|1992-09-21|NA
Women's Business Procurement Assistance Act of 1991|102|House|JOHN LAFALCE(D) |Committee Hearings Held.|1992-09-17|NA
Women in the Armed Forces Commemorative Coins Act|102|House|MARY OAKAR(D) |Referred to the Subcommittee on Consumer Affairs and Coinage.|1992-09-01|NA
Expressing the sense of the Congress regarding the elimination of sexual harassment and sexual assault in the Armed Forces.|102|House|PATRICIA SCHROEDER(D) |Referred to the Subcommittee on Military Personnel and Compensation.|1992-08-21|NA
Uniform Protection of Reproductive Rights Act of 1992|102|House|DICK SWETT(D) |Referred to the Subcommittee on Civil and Constitutional Rights.|1992-08-12|NA
Women Veterans Health Programs Act of 1992|102|House|PATRICIA SCHROEDER(D) |Referred to the House Committee on Veterans' Affairs.|1992-08-12|NA
To amend title 11, District of Columbia Code, to remove gender-specific references.|102|House|ELEANOR NORTON(D) |Received in the Senate and read twice and referred to the Committee on Governmental Affairs.|1992-07-30|NA
A bill to prohibit discrimination by the Armed Forces on the basis of sexual orientation.|102|Senate|HOWARD METZENBAUM(D) |Read twice and referred to the Committee on Armed Services.|1992-07-28|NA
Women and Children First Act of 1992|102|House|WILLIAM DANNEMEYER(R) |Referred to the Subcommittee on Human Resources.|1992-07-20|NA
To amend chapter 110 of title 18, United States Code, with respect to the sexual exploitation of children.|102|House|THOMAS BLILEY(R) |Referred to the Subcommittee on Crime and Criminal Justice.|1992-07-13|NA
Calling on the Secretary of Defense to complete a full investigation into alleged sexual harassment of women at the symposium of the Tailhook Association in September 1991.|102|House|PETER KOSTMAYER(D) |Referred to the Subcommittee on Military Personnel and Compensation.|1992-07-13|NA
Women's Midlife Health Research Act|102|House|MARILYN LLOYD(D) |Referred to the Subcommittee on Health and the Environment.|1992-07-08|NA
Women's Equal Opportunity Act of 1991|102|House|SUSAN MOLINARI(R) |Referred to the Subcommittee on Civil and Constitutional Rights.|1992-07-08|NA
Women Veterans' Health Equity Act of 1991|102|Senate|ARLEN SPECTER(R) |Committee on Veterans. Hearings held. Hearings printed: S.Hrg. 102-922.|1992-07-02|NA
