An Act for the Relief of Mr. and Mrs. Charles Fuxman and their two daughters|82|House|NA|Became Private Law No. 82-998|1952-07-16|https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA203-3.pdf
An Act for the Relief of Edward J. Voltin and wife, Tecla Voltin, and daughters Paula J. Voltin Sansom and Jacqueline Voltin|82|House|NA|Became Private Law No. 82-818|1952-07-10|https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA142-2.pdf
An Act for the Relief of Mother Anna Fasulo|82|House|NA|Became Private Law No. 82-766|1952-06-30|https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA119-3.pdf
An Act to authorize the conveyance to the Columbia Hospital for Women and Lying-In Asylum of certain parcels of land in the District of Columbia, and for other purposes|82|House|NA|Became Public Law No. 82-423|1952-06-28|https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-Pg287.pdf
An Act to authorize the appointment of qualified women as physicians and specialists in the medical services of the Army, Navy, and Air Force|82|Senate|NA|Became Public Law No. 82-408|1952-06-24|https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-Pg155-2.pdf
An Act to amend section 1732 of title 28, United States Code, entitled ""Judiciary and judicial procedure"" by adding a new subsection thereto ""To permit the photographic reproduction of business records and the introduction of the same in evidence""|82|House|NA|Became Public Law No. 82-129|1951-08-28|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg205.pdf
An Act to provide appropriate lapel buttons for widows, parents, and next of kin of members of the Armed Forces who lost or lose their lives in the armed services of the United States during World War II or during any subsequent war or period of armed hostilities in which the United States may be engaged|82|House|NA|Became Public Law No. 82-121|1951-08-21|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg195.pdf
An Act for the Relief of Franz Furtner, his wife, Valentina Furtner, and her daughters, Nina Tuerck and Victoria Tuerck|82|House|NA|Became Private Law No. 82-215|1951-08-17|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA82-2.pdf
An Act to protect the Girl Scouts of the United States of America in the use of emblems and badges, descriptive or designating marks, and words or phrases heretofore adopted and to clarify existing law relating thereto|82|House|NA|Became Public Law No. 82-117|1951-08-17|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg192.pdf
An Act to provide that children be committed to the Board of Public Welfare in lieu of being committed to the National Training School for Girls; that the property and personnel of the National Training School for Girls be available for the care of children committed to or accepted by the Board of Public Welfare; and for other purposes|82|Senate|NA|Became Public Law No. 82-105|1951-08-03|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg154.pdf
An Act to amend section 2 of the act entitled ""An Act to incorporate the National Society of the Daughters of the American Revolution.""|82|House|NA|Became Public Law No. 82-93|1951-07-30|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg130.pdf
An Act to authorize the printing of the annual reports of the Girl Scouts of the United States of America as separate House documents|82|House|NA|Became Public Law No. 82-18|1951-04-16|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg31.pdf
An Act for the Relief of Geraldine L. Smith, mother and natural guardian of Thomas Clayton Smith, a minor|82|House|NA|Became Private Law No. 82-7|1951-03-24|https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA5.pdf
